index,Rank,Twitter,Followers,Market Cap (ETH),MCap/Follower (ETH),Volume (ETH),Share Price (ETH),Share/Follower (ETH),Supply,Buys,Sells,Traders,Trades
299,297,ThorHartvigsen,0,6.08,0.0,6.89,0.13,0.0,46,85,39.0,54,112
300,297,SizeChad,9349,6.08,0.000651,51.91,0.13,1.4e-05,46,279,233.0,183,497
301,297,docXBT,18021,6.08,0.000338,5.9,0.13,7e-06,46,73,27.0,55,97
302,297,ameliabunny00,67813,6.08,9e-05,7.18,0.13,2e-06,46,85,39.0,49,112
304,297,knowerofmarkets,6503,6.08,0.000935,13.78,0.13,2e-05,46,137,91.0,90,203
305,297,THORmaximalist,31107,6.08,0.000196,8.72,0.13,4e-06,46,85,39.0,44,97
306,297,wronguser000,31745,6.08,0.000192,9.98,0.13,4e-06,46,106,60.0,74,166
307,297,billyoptionsii,61554,6.08,9.9e-05,11.84,0.13,2e-06,46,99,53.0,64,147
308,297,jimtalbot,6261,6.08,0.000972,34.04,0.13,2.1e-05,46,131,85.0,75,155
311,311,CJCJCJCJ_,197659,5.82,2.9e-05,9.46,0.13,1e-06,46,94,48.0,65,142
312,311,SalsaTekila,48484,5.82,0.00012,22.01,0.13,3e-06,46,153,107.0,97,204
313,311,321bigcat,29154,5.82,0.0002,4.75,0.13,4e-06,46,76,30.0,49,105
314,311,TrVon,98331,5.82,5.9e-05,12.17,0.13,1e-06,46,115,69.0,65,150
315,311,chinesefiat,175290,5.82,3.3e-05,10.57,0.13,1e-06,46,91,45.0,58,132
316,311,Ace_da_Book,28560,5.82,0.000204,3.88,0.13,4e-06,46,68,22.0,54,90
317,311,krybharat,82412,5.82,7.1e-05,13.52,0.13,2e-06,46,132,86.0,79,180
318,311,JasonYanowitz,2922,5.82,0.001992,19.93,0.13,4.3e-05,46,118,72.0,69,157
319,320,buyerofblood,6362,5.7,0.000895,27.68,0.13,2e-05,45,168,123.0,131,287
320,320,stoicsavage,142617,5.7,4e-05,29.99,0.13,1e-06,45,164,119.0,92,281
321,320,veH0rny,82809,5.7,6.9e-05,24.77,0.13,2e-06,45,166,121.0,101,253
322,320,intern,19062,5.7,0.000299,15.77,0.13,7e-06,45,149,104.0,103,216
323,320,NewsyJohnson,543028,5.7,1e-05,11.29,0.13,0.0,45,81,36.0,49,113
324,320,caitlinxyz,6583,5.7,0.000865,29.31,0.13,1.9e-05,45,134,89.0,68,165
325,320,cryptomagic2040,54336,5.7,0.000105,3.35,0.13,2e-06,45,65,20.0,40,75
326,327,TheNFTAsian,15231,5.45,0.000357,3.81,0.12,8e-06,45,66,21.0,38,87
327,328,defi_mochi,8300,5.32,0.000641,19.17,0.12,1.5e-05,44,106,62.0,60,123
328,328,tervoooo,8043,5.32,0.000662,11.14,0.12,1.5e-05,44,108,64.0,74,172
329,328,s4msies,61671,5.32,8.6e-05,3.55,0.12,2e-06,44,73,29.0,39,81
331,328,spreekaway,45941,5.32,0.000116,12.94,0.12,3e-06,44,109,65.0,83,174
332,328,msbreewc,5500,5.32,0.000968,18.5,0.12,2.2e-05,44,105,61.0,59,128
333,328,SplitCapital,64491,5.32,8.3e-05,20.45,0.12,2e-06,44,114,70.0,72,141
